step,encoder,SIN_P,COS_P,SIN_N,COS_N,TEMP
0,0,13460,8880,12292,16908,28.65
1,632,13870,8975,11943,16817,28.65
2,641,14396,9140,11546,16776,28.68
3,627,14824,9373,11288,16786,28.65
4,619,15182,9538,10890,16529,28.65
5,625,15310,9760,10580,16345,28.65
6,628,15679,9992,10273,16099,28.65
7,634,16150,10378,9893,15752,28.65
8,624,16374,10515,9578,15259,28.65
9,636,16637,11038,9483,15135,28.65
10,628,16836,11399,9298,14728,28.68
11,636,17046,11809,9169,14449,28.68
12,617,17113,12149,9026,14024,28.68
13,617,17222,12565,8979,13678,28.68
14,632,17258,12964,8947,13283,28.65
15,628,17253,13349,8955,12891,28.61
16,638,17199,13736,9003,12495,28.65
17,617,17116,14115,9092,12118,28.65
18,635,17001,14492,9224,11748,28.68
19,629,16830,14849,9385,11375,28.65
20,620,16636,15193,9577,11037,28.68
21,617,16425,15524,9813,10718,28.65
22,620,16166,15831,10067,10412,28.65
23,633,15815,16001,10313,9991,28.68
24,622,15564,16370,10668,9861,28.65
25,635,15235,16605,11004,9634,28.65
26,615,14896,16802,11354,9441,28.65
27,627,14529,16959,11718,9276,28.65
28,618,14147,17088,12096,9147,28.65
29,617,13766,17181,12484,9059,28.65
30,622,13374,17229,12886,9013,28.65
31,617,12969,17240,13282,9000,28.65
32,632,12567,17208,13688,9033,28.61
33,620,12168,17127,14086,9108,28.65
34,633,11760,17009,14477,9219,28.65
35,614,11371,16864,14867,9380,28.65
36,617,11027,16616,15223,9573,28.61
37,618,10688,16444,15547,9806,28.65
38,622,10353,16179,15898,10068,28.65
39,627,10047,15874,16192,10354,28.65
40,615,9784,15558,16459,10679,28.65
41,629,9545,15220,16701,11031,28.61
42,620,9346,14835,16907,11394,28.65
43,628,9182,14477,17055,11770,28.65
44,611,9059,14090,17167,12130,28.61
45,612,8985,13706,17246,12543,28.61
46,626,8944,13307,17284,12936,28.61
47,624,8946,12911,17271,13329,28.61
48,632,8988,12517,17228,13725,28.61
49,614,9075,12148,17151,14109,28.61
50,632,9195,11758,17003,14397,28.61
51,627,9358,11393,16852,14831,28.61
52,621,9557,11052,16660,15196,28.61
53,616,9787,10729,16440,15526,28.61
54,622,10027,10416,16179,15829,28.61
55,632,10321,10129,15884,16124,28.61
56,628,10625,9864,15579,16380,28.61
57,637,10961,9621,15223,16606,28.58
58,620,11135,9287,14862,16675,28.58
59,633,11697,9274,14516,16982,28.61
60,623,11883,8998,13906,16843,28.61
61,626,12475,9056,13739,17197,28.58
62,626,12864,9006,13328,17238,28.65
63,624,13274,9000,12929,17249,28.61
64,640,13657,9014,12475,17166,28.61
0,0,13611,8979,12429,17096,28.61
1,-644,13208,8968,12867,17189,28.61
2,-624,12837,8970,13271,17179,28.61
3,-631,12439,8993,13681,17134,28.61
4,-625,12039,9104,14059,17044,28.61
5,-622,11666,9232,14454,16924,28.58
6,-632,11292,9395,14823,16763,28.58
7,-619,10939,9587,15164,16555,28.61
8,-640,10596,9820,15500,16327,28.58
9,-625,10282,10080,15784,16057,28.61
10,-636,10007,10358,16118,15780,28.61
11,-621,9742,10678,16364,15474,28.61
12,-617,9494,10958,16601,15143,28.58
13,-620,9329,11334,16789,14799,28.58
14,-627,9165,11713,16959,14445,28.58
15,-629,9044,12092,17083,14066,28.58
16,-614,8954,12475,17174,13688,28.58
17,-633,8911,12857,17204,13290,28.58
18,-624,8910,13263,17226,12901,28.58
19,-627,8945,13657,17193,12500,28.58
20,-614,9026,14033,17112,12116,28.58
21,-613,9144,14412,16998,11738,28.58
22,-624,9309,14796,16843,11362,28.58
23,-620,9504,15153,16643,10996,28.58
24,-633,9739,15496,16405,10647,28.58
25,-612,9998,15822,16145,10334,28.58
26,-631,10311,16111,15845,10033,28.61
27,-620,10630,16370,15517,9771,28.58
28,-618,10977,16603,15175,9539,28.58
29,-613,11337,16789,14815,9350,28.58
30,-616,11715,16941,14434,9190,28.61
31,-630,12119,17077,14049,9077,28.58
32,-622,12510,17140,13646,9001,28.58
33,-632,12916,17173,13243,8965,28.58
34,-616,13307,17164,12839,8975,28.61
35,-623,13705,17120,12450,9025,28.58
36,-617,14085,17028,12060,9112,28.58
37,-619,14467,16904,11686,9219,28.58
38,-624,14843,16747,11320,9403,28.58
39,-613,15177,16495,10945,9566,28.58
40,-637,15521,16318,10635,9826,28.58
41,-620,15811,16065,10325,10080,28.58
42,-635,16076,15779,10037,10362,28.58
43,-621,16358,15478,9782,10644,28.58
44,-617,16576,15157,9556,10990,28.58
45,-615,16770,14821,9360,11330,28.58
46,-632,16928,14446,9186,11694,28.58
47,-632,17060,14080,9053,12073,28.58
48,-619,17130,13702,8968,12439,28.58
49,-638,17191,13312,8925,12840,28.61
50,-628,17206,12926,8916,13231,28.61
51,-632,16904,12336,8805,13411,28.58
52,-619,17101,12155,9019,14006,28.58
53,-614,16927,11730,9057,14274,28.58
54,-634,16825,11396,9281,14753,28.58
55,-629,16634,11043,9472,15116,28.58
56,-642,16400,10691,9704,15461,28.58
57,-619,16151,10377,9964,15780,28.58
58,-639,15851,10079,10264,16090,28.58
59,-627,15514,9802,10579,16349,28.58
60,-627,15177,9572,10920,16580,28.58
61,-619,14832,9378,11284,16780,28.58
62,-625,14448,9213,11658,16941,28.58
63,-638,14058,9093,12061,17074,28.61
64,-626,13608,8974,12414,17087,28.58
